courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
12,5,1,,,-,Introduction to data link layer,-,Link layer,-,Understanding,-,,-
12,5,2,,,-,ARP(address resolution protocol),-,Link layer,-,Understanding,-,,-
12,5,3,,,-,Ethernet,-,Link layer,-,Understanding,-,,-
12,5,3,1,,-,Ethernet Frame,-,Link layer,-,Understanding,-,,-
12,5,4,,,-,Switches,-,Link layer,-,Understanding,-,,-
12,5,5,,,-,Spanning tree protocol,-,Link layer,-,Understanding,-,,-
12,5,6,,,-,Virtual LANs,-,Link layer,-,Understanding,-,,-
12,5,7,,,-,Wireless basics,-,Link layer,-,Understanding,-,,-
12,5,8,1,,-,Radio signals,-,Link layer,-,Understanding,-,,-
12,5,9,2,,-,Wireless links,-,Link layer,-,Understanding,-,,-
12,5,10,3,,-,Wireless spectrum,-,Link layer,-,Understanding,-,,-
12,5,11,4,,-,Wireless networks,-,Link layer,-,Understanding,-,,-
12,5,12,,,-,Bluetooth,-,Link layer,-,Understanding,-,,-
12,5,13,,,-,WiFi,-,Link layer,-,Understanding,-,,-
12,5,13,1,,-,Media access,-,Link layer,-,Understanding,-,,-
12,5,13,2,,-,Collision avoidance,-,Link layer,-,Understanding,-,,-
12,5,13,3,,-,DCF,-,Link layer,-,Understanding,-,,-
12,5,14,,,-,802.11 frames,-,Link layer,-,Understanding,-,,-
